;environmental;social;corporate governance;k_values;avg_prob;coherence;custom_metric
0;0.061058026272803545;0.057922854321077466;0.039355861372314394;2;0.2697920927457744;0.3383236012608419;0.09127703240944945
1;0.09129309188574553;0.08611794095486403;0.05812162137590349;3;0.2696277211847094;0.3300724239245337;0.08899667548868537
2;0.12416228523943573;0.1160661147441715;0.07832891819998622;4;0.2699098323864746;0.3446265525919936;0.09301809504603356
3;0.1506035311613232;0.1384495358215645;0.09570884215645492;5;0.26923809545696714;0.3312266844926015;0.08917884169731378
4;0.17350427282508463;0.1633327369345352;0.11206918279640377;6;0.2687044246898343;0.35854887537710756;0.09634366928139278
5;0.20769164187368006;0.1864607878960669;0.12672514491714537;7;0.26860277052453185;0.3377964609975546;0.09073306529732514
6;0.23197745496872813;0.22663678356911987;0.14924966846592724;8;0.268995747093868;0.3504179656244989;0.09426094245827543
7;0.24819537834264338;0.25390631542541087;0.1628626654855907;9;0.26847123220149016;0.364116857042262;0.09775490127546992
8;0.2887382237240672;0.28208654874470085;0.1871877039084211;10;0.26895031190942975;0.3316238397245623;0.08919033513052377
9;0.315977914724499;0.31126329174730927;0.21118956920690835;11;0.269055244901789;0.34247711366900085;0.09214526369147086
10;0.3329849938163534;0.31126549397595227;0.20780081115663052;12;0.26775106872810284;0.36709555006909617;0.09829022585633128
11;0.3640522637870163;0.34156771190464497;0.22237165248952806;13;0.2678459928496383;0.33476678955746936;0.0896659431221063
12;0.4033528019208461;0.3651297988835722;0.24805145245045424;14;0.2681523938081227;0.3623751246730304;0.09717175713759002
13;0.41532356664538383;0.40649997524451464;0.26520047476515174;15;0.26811706694425086;0.3376448661606558;0.09052835118377918
14;0.43708017154131085;0.44375427393242717;0.29449150536675006;16;0.2683644679818826;0.34791554538775576;0.09336817024061161
15;0.4511891993461177;0.4342847838997841;0.2856279806001112;17;0.2672220877036178;0.3503988673532372;0.0936343168631151
16;0.4705622773617506;0.488557112053968;0.30545654066372663;18;0.26756355458443676;0.3787353555036326;0.10133577796535226
17;0.4705371999880299;0.496154909953475;0.31609286251477897;19;0.2668787496375827;0.368963093374729;0.09846840902226234
18;0.5305979307740927;0.5557209168327972;0.3566264669643715;20;0.2680368164321408;0.3714172243803722;0.09955349039097708
19;0.5464601936982945;0.5597909096395597;0.3808736875653267;21;0.2677038665583712;0.35235029186061967;0.09432553551405848
20;0.6057557128369808;0.6088938775938004;0.3918172041885555;22;0.2682553044843106;0.3702623374579364;0.0993248360738513
21;0.5833529396913946;0.6100054249400273;0.40163370966911316;23;0.2673368703728319;0.3773711666635834;0.10088522666478673
22;0.6351890546502545;0.6760981028201059;0.42492661671712995;24;0.26808556014778634;0.3757865143447831;0.10074293819410532
23;0.6787504513049498;0.7195038798963651;0.45584448135923594;25;0.2685409881256055;0.3820005762681194;0.10258281221559151
24;0.6884981611510739;0.7037778961239383;0.45217416854575276;26;0.26773509832519965;0.372709315425538;0.09978736521217427
25;0.6798092828830704;0.7270919280126691;0.4600912764435634;27;0.2672869674753639;0.3695392789844059;0.09877303324277432
26;0.7290455948095769;0.7850812965771183;0.47335000545717776;28;0.267745329436106;0.3978897917118393;0.10653313336115001
27;0.7774300009477884;0.7969804764725268;0.4864695818396285;29;0.2677662074074133;0.37522080462304963;0.10047145179427201
28;0.8011818648083135;0.8029766761464998;0.4828478714916855;30;0.2673917201037208;0.3871467849862735;0.10351984477010502
29;0.802430848358199;0.8433595529058948;0.511450252844952;31;0.2673971020492665;0.3752759637923159;0.10034770518681073
30;0.8267539096996188;0.9094043796649203;0.5430661758873612;32;0.26780644113478047;0.36116536603790195;0.09672241133975083
31;0.8398152099689469;0.8738975013839081;0.5536401268327609;33;0.26717691544080013;0.38896820294661544;0.10392332466782786
32;0.8928880988387391;0.9824870567535982;0.6085646374849603;34;0.2682642631843919;0.3965494550744308;0.10638004738171429
33;0.9249797752127051;0.9664166683796793;0.6220897405873984;35;0.26795347274414133;0.3848265489809516;0.10311561020358938
34;0.8913092074217275;0.971017369069159;0.5778781526023522;36;0.2669458661742586;0.37372374742951747;0.09976400946746239
35;0.9816474125254899;1.0084987342124805;0.6056836852803826;37;0.26753939075688077;0.4016678781411883;0.10746197940450254
36;0.9792159446515143;0.990308276610449;0.6071410132572055;38;0.2669517449639419;0.39826449825792903;0.10631740276714297
37;0.9544030303368345;1.0574092625174671;0.6421988478396088;39;0.2670128919275251;0.41069009440805515;0.10965954979388311
38;1.011012860108167;1.0533899090951309;0.6630445047048852;40;0.26704654546192613;0.3924462433408057;0.10480141356367259
39;0.9671762370271608;1.0764097188366577;0.6614642163040116;41;0.26649420836687704;0.394998918993735;0.10526492422300761
40;1.0205264601390809;1.1006324245827273;0.6348278080113232;42;0.2664046826948401;0.3818838198291426;0.10173563784787622
41;1.0520912958309054;1.1422644203994423;0.7253335018176585;43;0.2669749373142326;0.3890092528983159;0.10385572090718434
42;1.0524174108868465;1.1216109963133931;0.7293871897272766;44;0.26649667952799727;0.3765256650619207;0.10034283949607271
43;1.0458525697467849;1.141600487753749;0.7202169687952846;45;0.2661537223683101;0.40256667871421126;0.10714462004123487
44;1.1063900985755026;1.2356203999370337;0.7494618174387142;46;0.2668014799779959;0.3936617983454635;0.10502955040936904
45;1.1090266631217673;1.1779307865072042;0.7236655916785821;47;0.2660139523473806;0.3878499199665099;0.10317349012790655
46;1.1186781415017322;1.1622173759387806;0.6552689169766381;48;0.26529252309592266;0.39313099457992556;0.10429471345931796
47;1.099807473947294;1.2396298123057932;0.7526706956559792;49;0.2657760611321891;0.3991610556089257;0.10608745311710696
